kata_salah;kata_benar
coffee;kopi
yaa;ya
karna;karena
bangettt;sangat
banget;sangat
wfo;kerja dari rumah
ga;tidak
admin;administrator
sebenernya;sebenarnya
bingbing;sangat
anget;hangat
dalemnya;dalamnya
sori;maaf
buktiin;buktikan
plis;tolong
gede;besar
abis;habis
pricey;mahal
tetep;tetap
worth;setimpal
it;ini
avocado;alpukat
smoothies;jus
enakk;enak
topping;tambahan
cold;dingin
white;putih
caramel;karamel
recommended;direkomendasikan
yg;yang
gasuka;tidak suka
recommend;rekomendasi
cozy;nyaman
and;dan
spacious;luas
place;tempat
indoor;dalam
outdoor;luar
warm;hangat
cafe;kafe
container;wadah
yaaa;yang
gak;tidak
nongki;menongkrong
dalem;dalam
banged;sangat
ngafe;kafe
seneng;senang
coffeeshop;kafe
pewe;nyaman
sby;surabaya
bgt;sangat
kusuka;suka
gatau;tidak tahu
knp;kenapa
mager;malas
males;malas
self;sendiri
service;layanan
happy;senang
klo;kalau
lattenya;kopi
sukak;suka
pait2;pahit
sticknya;stik
tebel;tebal
kenyaaang;kenyang
coconutnya;kelapa
juarak;juara
hang;bergaul
out;luar
weekend;akhir pekan
live;langsung
music;musik
outdoornya;luar
dgn;dengan
jmlh;jumlah
nongkrong;menongkrong
diarea;area
sunday;minggu
mana;dimana
cus;langsung
lah;telah
nyobain;mencoba
yauda;sudah
ricebowl;mangkuk nasi
beef;daging sapi
rica2;rica-rica
srek;serak
rice;nasi
lidahku;lidah
butter;mentega
nasiku;nasi
jd;jadi
okeh;oke
sampau;sampai
sampe;sampai
dateng;datang
rame;ramai
nggak;tidak
nikmatin;menikmati
overall;keseluruhan
pelananan;pelayanan
temen2;teman
ngobrolin;mengobrolkan
jg;juga
nyamann;nyaman
nyaa;nya
okee;oke
laaah;lah
take;ambil
away;pergi
special;spesial
brew;buatan
ambience;suasana
vibesnya;suasana
red;merah
black;hitam
love;suka
this;ini
camilan2;camilan
snacknya;camlian
onion;bawang
ringnya;cincin
oily;berminyak
meeting;pertemuan
sdkit;sedikit
krg;kurang
fariatif;variatif
dg;dengan
staffnya;staf
ngasih;memberi
big;besar
breakfast;sarapan
baper;sensitif
restokafe;restoran kafe
ngga;tidak
weekday;hari kerja
beveragesnya;minuman
snack;camlian
main;utama
coursenya;menu
best;terbaik
photo;foto
ngopi;meminum kopi
start;mulai
from;dari
uda;sudah
botolan;botol
gtu;begitu
ice;es
strong;kuat
far;sejauh
is;adalah
great;bagus
very;sangat
friendly;ramah
comunicative;komunikatif
usah;sudah
kesana;ke sana
caramelnya;karamel
coffeenya;kopi
but;tapi
caffeine;kafein
kalaug;kalau
coconut;kelapa
dr;dari
dibawah;di bawah
kemaren;kemarin
sunset;matahari terbenam
simply;simpel
view;pemandangan
singup2;gelap
khusu;khusus
malamweekend;malam akhir pekan
malem;malam
green;hijau
latte;kopi
exclude;kecuali
tax;pajak
enaaaak;enak
buatku;buat aku
sdm;sumber daya manusia
orderan;pesanan
servicenya;pelayanan
soup;sop
desert;hidangan penutup
intuk;untuk
me;aku
time;waktu
gathering;berkumpul
beraama;bersama
cozzy;nyaman
buanget;banget
hot;panas
cappuccino;kopi
brewnya;buatan
nongkrong2;menongkrong
authentic;autentik
taste;rasa
of;dari
non;tidak
smoking;merokok
room;ruangan
asalan;asal
enaakkk;enak
segeeeeeeeer;segar
lux;mewah
tdk;tidak
seterkenal;terkenal
didunia;di dunia
customer;pelanggan
itupun;itu pun
nyetel;menyetel
kekencengan;terlalu kencang
sekompleks;kompleks
beam;balok
terekspose;terekspos
diluar;di luar
kedalam;ke dalam
enakmakanannya;enak makanan
ramahbahkan;ramah bahkan
memfoto;memotret
food;makanan
drinks;minuman
seller;penjual
seger;segar
krasa;berasa
milk;susu
mild;ringan
utk;untuk
musicnya;musik
enak2;enak
apalg;apalagi
not;tidak
only;hanya
western;barat
indinesian;indonesia
such;seperti
enakkkk;enak
vibes;suasana
mikirin;memikirkan
pastinyaaa;pasti
muncullah;muncul
back;kembali
ciamik;bagus
gingger;jahe
doyan;suka
lahhh;lah
terbaekkkk;terbaik
flat;datar
originnya;origin
tasteful;enak
macam2x;bermacam-macam
pricy;mahal
free;gratis
sdh;sudah
why;kenapa
who;siapa
when;kapan
what;apalagi
how;bagaimana
trima;terima
pelayananya;pelayanannya
subaya;surabaya
meet;bertemu
middle;tengah
high;tinggi
ngobrol;mengobrol
san;dan
online;daring
sruput;minum
nugas;mengerjakan  tugas
berlaptop;membawa laptop
colokan;stopkontak
tampias;tempias
waiter;pelayan
semi;setengah
interior;dalam
eksteriornya;luar
aesthetic;estetis
chicken;ayam
calamary;tepun
enakkkkk;enak
wow;kagum
kece;keren
spot2;tempat
staff;staf
nice;baik
acnya;pendingin ruangan
cm;Cuma
syg;sayang
top;baik
ortu;orang tua
okey;oke
makannan;makanan
mbl;mobil
interiornya;dalam
meetingevent;pertemuan
dinner;makan malan
comfy;nyaman
clean;bersih
pretty;cantik
i;saya
think;pikir
price;harga
foodnya;makanan
bcause;karena
normal;standar
one;satu
instagramable;bagus untuk dipotret
in;di
mantab;mantap
atmosfir;atmosfer
bbrp;beberapa
pqs;pas
wiken;akhir pekan
band;ben
a;suatu
kind;jenis
chocolatte;coklat
manis2nya;manis
booth;standar
shop;toko
dont;jangan
be;menjadi
cheap;murah
to;kepada
your;kamu
or;atau
wont;tidak akan
comeback;kembali
there;ke sana
deket;dekat
with;dengan
vanilla;vanila
dabest;terbaik
insragramable;bagus untuk dipotret
cr;cari
sela2;sela-sela
nomer;nomor
msh;masih
kluar;keluar
diseprot;disemprot
sm;sama
kompresro;kompresor
thex;terima kasih
foto2;foto-foto
cangkruk;nongkrong
okyg;oke yang
open;buka
no;tanpa
worries;khawatir
kesiniparkir;kesini parkir
banyakkkkk;banyak
persissssssukses;persis
yo;ya
boss;bos
openning;pembukaan
restonya;restoran
blm;belum
kynya;kayaknya
apa2;apa-apa
dikursi;di kursi
disuru;disuruh
smooking;merokok
super;sangat
ps;catatan tambahan
care;peduli
thd;terhadap
tempatnyaa;tempatnya
duper;sangat
rekomen;direkomendasikan
didatangi;mendatangi
hits;populer
yes;iya
cool;keren
coffe;kopi
simple;simpel
syrup;sirup
roaster;pemanggang
tp;tapi
jln;jalan
viewnya;pemandangan
dapet;dapat
bngt;banget
worthit;setimpal
dn;dan
nyesel;menyesal
nongkrongan;tempat tongkrong
kolegarekan;kolega dan rekan
bersihrasa;bersih rasa
ac;pendingin ruangan
bad;buruk
veggie;sayur
roll;lumpia
garnisnya;hiasan
fresh;baru
smoga;semoga
cakep;cakap
okay;oke
fotoin;mengambil foto
next;selanjutnya
diatas;di atas
snacks;camilan
temapatnya;tempatnya
kog;kok
expensive;mahal
house;rumah
blend;campuran
strtegis;strategis
makana;makanan
byk;banyak
markotop;baik
mantapp;mantap
for;untuk
true;benar
lover;kekasih
kegerai;ke gerai
bnget;banget
lumayanlah;lumayan
serving;pelayanan
asyik;asik
chill;santai
ksna;ke sana
ngopinya;minum kopi
kongkoy;nongkrong
nongkrongtempatnya;nongkrong tempatnya
sekitarya;sekitarannya
kaula;kawula
amandkt;aman dekat
mall2;mall
kepaitan;kepahitan
okelah;oke
kongkow;nongkrong
terlau;terlalu
lt;lantai
cmn;cuman
nda;tidak
cinakoreaseafood;cina korea hidangan laut
berac;mempunyai pendingin ruangan
kempes;kempis
maknyus;enak
brief;singkat
pegawe;pegawai
nonik;nona
disana;di sana
tambahin;tambah
bangett;sangat
chillin;santai
motorbike;motor
ahak;agak
nakenakk;enak
siap2;siap
servis;pelayanan
cepatpelayanana;cepat pelayanan
dah;sudah
pingin;ingin
daily;setiap hari
tmpt;tempat
perform;mempersembahkan
accoustic;akustik
instagramabke;bagus untuk dipotret
yanga;yang
udh;sudah
unprofesional;tidak profesional
tkp;tempat
kl;kalau
susa;susah
sold;jual
dilokasi;di lokasi
la;lah
lg;lagi
resto;restoran
caffe;kafe
hangout;berkumpul
prefer;memilih
mendung2;mendung
ama;dengan
waiterwaitressnya;pelayan
tembat;tempat
malem2;malam-malam
kerren;keren
tmpatnya;tempat
layananya;layanannya
client;klien
enaaak;enak
asyiik;asik
berjama;bersama
recomended;direkomendasikan
flexiblemengenai;fleksibel mengenai
biayacontoh;biaya contoh
cash;uang tunai
waitres;pelayan
cafenyamanteebbbb;kafe nya mantap
asyek;asik
nyante;santai
teman2;teman-teman
waiters;pelayan
fast;cepat
informal;tidak formal
nyus;enak
asiyk;asik
mantul;mantap
nendang;tendang
connect;berhubung
kerenlah;keren lah
disurabaya;di surabaya
nyolot;menantang
abisss;habis
kerennnnnn;keren
enaksandwich;enak sandwich
malammusik;malam musik
btw;omong-omong
drive;mengendarai
untukku;untuk aku
kafef;kafe
bagusdan;bagus dan
sooo;jadi
make;memakai
idr;rupiah
asligreat;asli hebat
services;pelayanan
spend;menghabiskan
lezatrasa;lezat rasa
mempostingnya;mengunggah
premiumkualitas;premium kualitas
harganyalokasi;harganya lokasi
buruktempat;buruk tempat
sachet;saset
mediochre;biasa saja
order;pesanan
jkt;jakarta
aslistaff;asli pelayan
unhelpful;tidak berguna
full;penuh
left;meninggalkan
we;kami
come;datang
group;grup
person;orang
they;mereka
didnt;tidak
help;membantu
give;memberi
table;meja
want;ingin
us;kami
million;juta
can;bisa
if;jika
cup;cangkir
average;rata-rata
always;selalu
go;pergi
never;tidak pernah
get;mendapatkan
experience;pengalaman
like;hidup
helpful;berguna
arrogant;arogan
hype;bersemangat
crancky;mudah marah
ayolah;ayo lah
serve;layan
jadilah;menjadi lah
goodd;baik
mantaapp;mantap
foh;pelayan
bessstttt;terbaik
mantulsssss;mantap
dtgnya;datangnya
ky;kayak
tempa;tempat
topeng;masker
our;kami
new;baru
fav;favorit
placeeeeeee;tempat
laffff;suka
goor;bagus
location;tempat
instragramer;bagus untuk dipotret
gawddd;enak
mantaap;mantap
uga;juga
hangup;berkumpul
topssss;mantap
seep;baik
manteebbbbb;mantap
gitu;begitu
udah;sudah
harusnya;seharusnya
